文件名,处理时间,案例编号,案例名称,地区,学段,产业应用现状,优势和创新点,关键技术路径,技术要素,Unnamed: 10,工具名称,企业名称,是否自主研发,产品形态,产品分类,文档内容依据,主要应用场景,次要应用场景,应用场景（一级）,应用场景（二级）,培养方向,潜在成效,关键技术路径.1,技术要素.1,产业应用现状.1,优势和创新点.1,学科,工具标准名,公司,省份,三赋能分类,iSTAR人机协同层级,D1_深度学习,D2_绿色鲁棒,D3_循证教学,D4_人机互信,智慧教育境界,技术路径类型,创新深度评分,产品技术代际
第592号案例_“人工智能+基础教育”典型应用场景案例申报--科大实验附小 杨彪.docx,2026-02-03 11:16:29,592,如何借助 AI 等信息技术构建融创课堂,成都高新区,小学,本课程以“技术+文化”双核驱动，为古诗教学提供了数字化转型的可行路径，其特色模式可复制至其他传统文化主题，助力信息技术与人文教育的深度融合。,课程突破传统学科边界，将语文的古诗词赏析与信息科技的文字编辑、AI技术深度融合，强化了文化理解，培养了技术应用能力，实现核心素养的跨学科整合。,分层引导与多元互动结合 → AI工具与软件协同赋能 → 资源共享 → 虚实融合的数字化学习空间,"[""AI生成技术"", ""动态视频生成"", ""虚拟教师互动"", ""个性化素材生成"", ""多媒体教学""]",,屏幕录制工具,未点名企业,0.0,软件平台,教学辅助工具（工具型）,文档中提到“上传故宫脊兽+现代教学楼素材→AI自动融合生成创意图”,课堂教学,创作辅助,助学,情境式学习,德育,学生：提升对古诗文化的理解与兴趣，培养计算思维与协作能力；教师：优化教学设计与资源利用；学校：推动教育数字化转型与文化传承。,教学模式设计 → AI工具应用 → 资源共享与管理 → 评价体系构建,"数据采集层（学生操作记录与反馈）
行为识别层（学生协作与互动分析）
画像诊断层（学生学习状态与能力评估）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,跨学科融合古诗文化与信息科技，通过AI技术动态生成教学资源，实现个性化创作与文化传承，构建多维评价体系，促进学生主动学习与创新能力发展。,语文,Stable Diffusion教育版,Stable Diffusion教育版,重庆市,赋能学生,HM2C(2),1,0,0,0,第三境界_制度变革,T1_内容生成,3,Gen5_多模态AI
第592号案例_“人工智能+基础教育”典型应用场景案例申报--科大实验附小 杨彪.docx,2026-02-03 11:16:29,592,如何借助 AI 等信息技术构建融创课堂,成都高新区,小学,本课程以“技术+文化”双核驱动，为古诗教学提供了数字化转型的可行路径，其特色模式可复制至其他传统文化主题，助力信息技术与人文教育的深度融合。,课程突破传统学科边界，将语文的古诗词赏析与信息科技的文字编辑、AI技术深度融合，强化了文化理解，培养了技术应用能力，实现核心素养的跨学科整合。,分层引导与多元互动结合 → AI工具与软件协同赋能 → 资源共享 → 虚实融合的数字化学习空间,"[""AI生成技术"", ""动态视频生成"", ""虚拟教师互动"", ""个性化素材生成"", ""多媒体教学""]",,机房管理软件平台,未点名企业,0.0,软件平台,平台型综合系统,文档中提到“使用STEAM活动支持平台来提升幼儿园的教学效果”,幼儿园教学,STEAM活动支持,助学,情境式学习,德育,学生：提升对古诗文化的理解与兴趣，培养计算思维与协作能力；教师：优化教学设计与资源利用；学校：推动教育数字化转型与文化传承。,教学模式设计 → AI工具应用 → 资源共享与管理 → 评价体系构建,"数据采集层（学生操作记录与反馈）
行为识别层（学生协作与互动分析）
画像诊断层（学生学习状态与能力评估）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,跨学科融合古诗文化与信息科技，通过AI技术动态生成教学资源，实现个性化创作与文化传承，构建多维评价体系，促进学生主动学习与创新能力发展。,语文,STEAM活动支持平台,STEAM活动支持平台,浙江省,赋能学生,HMC(1),1,0,0,0,第三境界_制度变革,T6_平台生态,2,Gen2_互联网+
第593号案例_1.“人工智能+基础教育”典型应用案例 中国农业大学附属中学.pdf,2026-02-03 11:16:30,593,智“心”融合：解锁心灵呵护新模式,未提及,中学,已在中国农业大学附属中学实施，具有较好的创新性与推广价值,通过VR技术、AI智慧体育和大数据分析，实现心理健康教育的全方位、个性化、全天候呵护，显著降低学生焦虑指数，提升课堂专注力。,VR沉浸式心理活动室 → AI智慧体育 → 人工智能与大数据分析 → 个性化心理健康教育,"[""虚拟现实技术"", ""人工智能"", ""大数据分析"", ""机器学习"", ""多模态交互系统""]",,VR沉浸式心理活动室,未点名企业,0.0,软件平台,教学辅助工具（工具型）,文档中提到“Stopmotion软件的逐帧拍摄控制”,动画制作,逐帧拍摄控制,助育,智能心理支持,德育,学生：降低焦虑指数、提升课堂专注力；教师：提供24小时智能心理咨询服务；学校：创新心理健康教育模式，提升教育质量。,需求分析 → 技术研发与个性化定制 → 应用优化 → 效果评估,"数据采集层（多维度行为数据收集与分析）
行为识别层（心理状态识别、情感分析）
画像诊断层（心理健康评估与干预建议）",该模式在学校内取得显著成效，未来有望扩大应用规模，提升应用深度和广度，整体处于推广阶段。,通过VR技术与AI结合，创新心理健康教育模式，实现从被动干预到主动预防的转变，提供个性化、全天候的心理健康服务。,心理健康教育,Stopmotion软件,Stopmotion软件,北京市,赋能学生,HMC(1),1,0,1,0,第二境界_教学模式,T4_沉浸体验,3,Gen3_AI辅助
第593号案例_1.“人工智能+基础教育”典型应用案例 中国农业大学附属中学.pdf,2026-02-03 11:16:30,593,智“心”融合：解锁心灵呵护新模式,未提及,中学,已在中国农业大学附属中学实施，具有较好的创新性与推广价值,通过VR技术、AI智慧体育和大数据分析，实现心理健康教育的全方位、个性化、全天候呵护，显著降低学生焦虑指数，提升课堂专注力。,VR沉浸式心理活动室 → AI智慧体育 → 人工智能与大数据分析 → 个性化心理健康教育,"[""虚拟现实技术"", ""人工智能"", ""大数据分析"", ""机器学习"", ""多模态交互系统""]",,AI智慧体育,未点名企业,0.0,分析工具,教学辅助工具（工具型）,文档中提到“引入智能分析工具，如S-T分析法评估课堂互动效率”,课堂互动分析,课堂效率评估,助育,智能心理支持,德育,学生：降低焦虑指数、提升课堂专注力；教师：提供24小时智能心理咨询服务；学校：创新心理健康教育模式，提升教育质量。,需求分析 → 技术研发与个性化定制 → 应用优化 → 效果评估,"数据采集层（多维度行为数据收集与分析）
行为识别层（心理状态识别、情感分析）
画像诊断层（心理健康评估与干预建议）",该模式在学校内取得显著成效，未来有望扩大应用规模，提升应用深度和广度，整体处于推广阶段。,通过VR技术与AI结合，创新心理健康教育模式，实现从被动干预到主动预防的转变，提供个性化、全天候的心理健康服务。,心理健康教育,S-T分析法,S-T分析法,上海市,赋能学生,HMC(1),1,0,1,0,第二境界_教学模式,T6_平台生态,3,Gen3_AI辅助
第593号案例_1.“人工智能+基础教育”典型应用案例 中国农业大学附属中学.pdf,2026-02-03 11:16:30,593,智“心”融合：解锁心灵呵护新模式,未提及,中学,已在中国农业大学附属中学实施，具有较好的创新性与推广价值,通过VR技术、AI智慧体育和大数据分析，实现心理健康教育的全方位、个性化、全天候呵护，显著降低学生焦虑指数，提升课堂专注力。,VR沉浸式心理活动室 → AI智慧体育 → 人工智能与大数据分析 → 个性化心理健康教育,"[""虚拟现实技术"", ""人工智能"", ""大数据分析"", ""机器学习"", ""多模态交互系统""]",,智能心理咨询服务,未点名企业,0.0,软件平台,教学辅助工具（工具型）,文档中提到“结合《数字资源建设促进教师专业发展》课题开发专属智能体”,课堂教学,音乐创作辅助,助育,智能心理支持,德育,学生：降低焦虑指数、提升课堂专注力；教师：提供24小时智能心理咨询服务；学校：创新心理健康教育模式，提升教育质量。,需求分析 → 技术研发与个性化定制 → 应用优化 → 效果评估,"数据采集层（多维度行为数据收集与分析）
行为识别层（心理状态识别、情感分析）
画像诊断层（心理健康评估与干预建议）",该模式在学校内取得显著成效，未来有望扩大应用规模，提升应用深度和广度，整体处于推广阶段。,通过VR技术与AI结合，创新心理健康教育模式，实现从被动干预到主动预防的转变，提供个性化、全天候的心理健康服务。,心理健康教育,Suno,Suno,重庆市,赋能学生,HM2C(2),1,0,1,0,第二境界_教学模式,T1_内容生成,4,Gen5_多模态AI
第594号案例_《“人工智能+基础教育”典型应用场景案例申报书》_20251027_211234.pdf,2026-02-03 11:16:34,594,AI赋能下的古诗解码——以登幽州台歌、望岳、登飞来峰群诗研习为例,重庆,初中,该模式已在重庆复旦中学初一年级实施，具备规模化推广潜力,成功将AI的角色从辅助工具提升为思维伙伴，激发学生探究兴趣，培养批判性思维和人文素养。,人机协同的古诗教学新范式 → 知识整合与多维度分析 → 诗意重构与策略建模 → 理性复评与反馈,"[""知识整合"", ""多维度分析"", ""人机协同"", ""情感曲线分析"", ""策略建模""]",,文心一言,未点名企业,0.0,AI工具,AI 能力 / 模型 / API（基础层）,文档中提到“利用AI智能化工具（如Suno软件）辅助资料收集与歌曲创作”,课堂教学,资料收集与创作,助教,教学分析,德育,学生：提升批判性思维与诗歌解读能力；教师：转变为学习设计师与思维引导者；学校：提供可复制的AI+古诗教学实践样本,人机协同 → 知识整合与分析 → 诗歌解读与表达 → 反馈与评估,"数据采集层（知识整合与多维度分析）
行为识别层（学习模式与策略识别）
画像诊断层（个性化学习画像生成）",该模式已在重庆复旦中学初一年级实施，课堂参与度高，具备规模化推广潜力,构建了以学生为中心、技术为支撑的思维发展新型教学样态，实现了人机协同的课堂生态转型,语文,Suno,Suno,广东省,赋能教师,HMC(1),1,0,0,1,第二境界_教学模式,T1_内容生成,3,Gen5_多模态AI
第594号案例_《“人工智能+基础教育”典型应用场景案例申报书》_20251027_211234.pdf,2026-02-03 11:16:34,594,AI赋能下的古诗解码——以登幽州台歌、望岳、登飞来峰群诗研习为例,重庆,初中,该模式已在重庆复旦中学初一年级实施，具备规模化推广潜力,成功将AI的角色从辅助工具提升为思维伙伴，激发学生探究兴趣，培养批判性思维和人文素养。,人机协同的古诗教学新范式 → 知识整合与多维度分析 → 诗意重构与策略建模 → 理性复评与反馈,"[""知识整合"", ""多维度分析"", ""人机协同"", ""情感曲线分析"", ""策略建模""]",,豆包,未点名企业,0.0,软件平台,平台型综合系统,文档中描述“学生根据教师提供的Suno指令模板输入关键词，通过Suno AI生成朗诵背景音乐”,音乐创作,背景音乐生成,助教,教学分析,德育,学生：提升批判性思维与诗歌解读能力；教师：转变为学习设计师与思维引导者；学校：提供可复制的AI+古诗教学实践样本,人机协同 → 知识整合与分析 → 诗歌解读与表达 → 反馈与评估,"数据采集层（知识整合与多维度分析）
行为识别层（学习模式与策略识别）
画像诊断层（个性化学习画像生成）",该模式已在重庆复旦中学初一年级实施，课堂参与度高，具备规模化推广潜力,构建了以学生为中心、技术为支撑的思维发展新型教学样态，实现了人机协同的课堂生态转型,语文,Suno,Suno,上海市,赋能教师,HMC(1),1,0,0,1,第二境界_教学模式,T1_内容生成,3,Gen5_多模态AI
第594号案例_《“人工智能+基础教育”典型应用场景案例申报书》_20251027_211234.pdf,2026-02-03 11:16:34,594,AI赋能下的古诗解码——以登幽州台歌、望岳、登飞来峰群诗研习为例,重庆,初中,该模式已在重庆复旦中学初一年级实施，具备规模化推广潜力,成功将AI的角色从辅助工具提升为思维伙伴，激发学生探究兴趣，培养批判性思维和人文素养。,人机协同的古诗教学新范式 → 知识整合与多维度分析 → 诗意重构与策略建模 → 理性复评与反馈,"[""知识整合"", ""多维度分析"", ""人机协同"", ""情感曲线分析"", ""策略建模""]",,KIMI,未点名企业,0.0,软件平台,平台型综合系统,文档中提到“搭配SunoAI生成场景配乐”,电影制作,音乐生成,助教,教学分析,德育,学生：提升批判性思维与诗歌解读能力；教师：转变为学习设计师与思维引导者；学校：提供可复制的AI+古诗教学实践样本,人机协同 → 知识整合与分析 → 诗歌解读与表达 → 反馈与评估,"数据采集层（知识整合与多维度分析）
行为识别层（学习模式与策略识别）
画像诊断层（个性化学习画像生成）",该模式已在重庆复旦中学初一年级实施，课堂参与度高，具备规模化推广潜力,构建了以学生为中心、技术为支撑的思维发展新型教学样态，实现了人机协同的课堂生态转型,语文,SunoAI,SunoAI,北京市,赋能教师,HMC(1),1,0,0,1,第二境界_教学模式,T1_内容生成,3,Gen5_多模态AI
第594号案例_《“人工智能+基础教育”典型应用场景案例申报书》_20251027_211234.pdf,2026-02-03 11:16:34,594,AI赋能下的古诗解码——以登幽州台歌、望岳、登飞来峰群诗研习为例,重庆,初中,该模式已在重庆复旦中学初一年级实施，具备规模化推广潜力,成功将AI的角色从辅助工具提升为思维伙伴，激发学生探究兴趣，培养批判性思维和人文素养。,人机协同的古诗教学新范式 → 知识整合与多维度分析 → 诗意重构与策略建模 → 理性复评与反馈,"[""知识整合"", ""多维度分析"", ""人机协同"", ""情感曲线分析"", ""策略建模""]",,DeepSeek,未点名企业,0.0,AI声景合成系统,AI 能力 / 模型 / API（基础层）,文档中提到“通过SunoAI合成《忆江南》主题音乐”,古诗词教学,声景合成与情境创设,助教,教学分析,德育,学生：提升批判性思维与诗歌解读能力；教师：转变为学习设计师与思维引导者；学校：提供可复制的AI+古诗教学实践样本,人机协同 → 知识整合与分析 → 诗歌解读与表达 → 反馈与评估,"数据采集层（知识整合与多维度分析）
行为识别层（学习模式与策略识别）
画像诊断层（个性化学习画像生成）",该模式已在重庆复旦中学初一年级实施，课堂参与度高，具备规模化推广潜力,构建了以学生为中心、技术为支撑的思维发展新型教学样态，实现了人机协同的课堂生态转型,语文,SunoAI,SunoAI,浙江省,赋能教师,HMC(1),1,0,0,1,第二境界_教学模式,T1_内容生成,3,Gen5_多模态AI
"第595号案例_申报书word版+重庆南开两江中学+李南兰,郭莉+解密自热食物的科学传奇.docx",2026-02-03 11:16:29,595,解密自热食物的科学传奇,重庆,初中,已完成多轮教学实践，具备规模化普及潜力,构建了AI主导叙事引导与教师主导实践探究的双师协作模式，推动AI深度融入跨学科教学，有效培养学生的科学探究能力与科技伦理意识。,AI数字人角色创设 → 跨学科探究设计 → 人机协同教学模式 → 学生科学探究能力提升,"[""人工智能"", ""数据可视化"", ""教育叙事引擎"", ""人机协同机制"", ""动态反馈""]",,AI侦探社社长,未点名企业,0.0,软件平台,教学辅助工具（工具型）,文档中提到SwissModel用于分析蛋白质等生物大分子的空间结构,生物教学,生物大分子分析,助学,智能辅导系统,智育,学生：提升科学探究能力、科技伦理意识与环保责任素养；教师：转型为学习策略师，聚焦实验指导与思维激发；学校：提供可复制的“AI+跨学科”教学范式,需求分析 → 技术研发与个性化定制 → 应用优化 → 教学实施,"需求分析层（学科壁垒识别、探究过程设计）
技术研发层（AI数字人角色设计、功能互补的双师型模式）
应用优化层（人机协同教学流程、数据分析前置）",项目已完成多轮教学实践，具备规模化推广潜力，采用轻量级技术方案，降低优质课程推广门槛,构建了双师协作模式，AI作为认知脚手架与思维伙伴，推动跨学科教学的深度融合与实践，形成可操作的教学设计与实施路径,科学,SwissModel,SwissModel,江苏省,赋能学生,HMC(1),1,0,0,1,第二境界_教学模式,T6_平台生态,3,Gen3_AI辅助
"第595号案例_申报书word版+重庆南开两江中学+李南兰,郭莉+解密自热食物的科学传奇.docx",2026-02-03 11:16:29,595,解密自热食物的科学传奇,重庆,初中,已完成多轮教学实践，具备规模化普及潜力,构建了AI主导叙事引导与教师主导实践探究的双师协作模式，推动AI深度融入跨学科教学，有效培养学生的科学探究能力与科技伦理意识。,AI数字人角色创设 → 跨学科探究设计 → 人机协同教学模式 → 学生科学探究能力提升,"[""人工智能"", ""数据可视化"", ""教育叙事引擎"", ""人机协同机制"", ""动态反馈""]",,AI数据分析师—源仔,未点名企业,0.0,硬件 + AI系统,教学辅助工具（工具型）,文档中提到“Switch具有独特的切换形态功能，既可以连接到一体机上学习，也可以作为掌机在桌面学习”,课堂教学,游戏化学习,助学,智能辅导系统,智育,学生：提升科学探究能力、科技伦理意识与环保责任素养；教师：转型为学习策略师，聚焦实验指导与思维激发；学校：提供可复制的“AI+跨学科”教学范式,需求分析 → 技术研发与个性化定制 → 应用优化 → 教学实施,"需求分析层（学科壁垒识别、探究过程设计）
技术研发层（AI数字人角色设计、功能互补的双师型模式）
应用优化层（人机协同教学流程、数据分析前置）",项目已完成多轮教学实践，具备规模化推广潜力，采用轻量级技术方案，降低优质课程推广门槛,构建了双师协作模式，AI作为认知脚手架与思维伙伴，推动跨学科教学的深度融合与实践，形成可操作的教学设计与实施路径,科学,Switch,Switch,浙江省,赋能学生,HMC(1),1,0,0,1,第二境界_教学模式,T5_智能硬件,3,Gen3_AI辅助
第596号案例_（盖章）附件1申报书：重庆市巴蜀小学校 令狐林+数字教育资源和人工智能工具融合应用 赋能共同体课堂教学变革.pdf,2026-02-03 11:16:42,596,数字教育资源和人工智能工具融合应用赋能共同体课堂教学变革,重庆市,小学,已在近100所学校深度应用，影响带动近1000所学校加快推进教育数字化,通过数智赋能，实现课堂教学形态的变革，优化教师备课和教学效率，促进学生个性化学习与创造性思维培养。,数字教育资源建设 → 人工智能工具融合应用 → 课堂教学效率提升 → 学生个性成长,"[""人工智能大模型"", ""数字教育资源"", ""教学设计优化"", ""生成式人工智能"", ""数据分析""]",,线上巴蜀,未点名企业,0.0,开源框架,AI 能力 / 模型 / API（基础层）,文档中提到“采用TensorFlow框架编写模块化代码”,模型训练,深度学习实现,助教,教学分析,智育,学生：提升自主学习能力和个性成长；教师：优化备课效率和教学质量；学校：推动共同体课堂教学变革，提升整体教育质量。,数字教育资源建设 → 人工智能工具应用 → 教学设计优化 → 课堂教学实施 → 教学效果分析,"数据采集层（数字教育资源整合与应用）
行为识别层（课堂互动与学生参与度分析）
画像诊断层（教师教学效果评估与反馈）",企业产品以数字教育资源和人工智能工具为主，已在近100所学校常态应用，影响近1000所学校，整体处于推广阶段。,通过数智赋能实现教学资源的数字化建设与优化，促进教师备课与学生自主学习，形成了“备、教、学、评、研”一体化实施模式，提升了课堂教学效率与质量。,未提及,TensorFlow,TensorFlow,内蒙古自治区,赋能教师,HMC(1),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen3_AI辅助
第596号案例_（盖章）附件1申报书：重庆市巴蜀小学校 令狐林+数字教育资源和人工智能工具融合应用 赋能共同体课堂教学变革.pdf,2026-02-03 11:16:42,596,数字教育资源和人工智能工具融合应用赋能共同体课堂教学变革,重庆市,小学,已在近100所学校深度应用，影响带动近1000所学校加快推进教育数字化,通过数智赋能，实现课堂教学形态的变革，优化教师备课和教学效率，促进学生个性化学习与创造性思维培养。,数字教育资源建设 → 人工智能工具融合应用 → 课堂教学效率提升 → 学生个性成长,"[""人工智能大模型"", ""数字教育资源"", ""教学设计优化"", ""生成式人工智能"", ""数据分析""]",,授课助手,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到“对电子闹钟材料包中附带的基础外壳进行建模和挖孔操作，是对Thinkercad三维设计平台的学习”,三维设计,基础建模与课堂管理,助教,教学分析,智育,学生：提升自主学习能力和个性成长；教师：优化备课效率和教学质量；学校：推动共同体课堂教学变革，提升整体教育质量。,数字教育资源建设 → 人工智能工具应用 → 教学设计优化 → 课堂教学实施 → 教学效果分析,"数据采集层（数字教育资源整合与应用）
行为识别层（课堂互动与学生参与度分析）
画像诊断层（教师教学效果评估与反馈）",企业产品以数字教育资源和人工智能工具为主，已在近100所学校常态应用，影响近1000所学校，整体处于推广阶段。,通过数智赋能实现教学资源的数字化建设与优化，促进教师备课与学生自主学习，形成了“备、教、学、评、研”一体化实施模式，提升了课堂教学效率与质量。,未提及,Thinkercad,Thinkercad,上海市,赋能教师,HMC(1),1,0,0,0,第二境界_教学模式,T6_平台生态,2,Gen2_互联网+
第596号案例_（盖章）附件1申报书：重庆市巴蜀小学校 令狐林+数字教育资源和人工智能工具融合应用 赋能共同体课堂教学变革.pdf,2026-02-03 11:16:42,596,数字教育资源和人工智能工具融合应用赋能共同体课堂教学变革,重庆市,小学,已在近100所学校深度应用，影响带动近1000所学校加快推进教育数字化,通过数智赋能，实现课堂教学形态的变革，优化教师备课和教学效率，促进学生个性化学习与创造性思维培养。,数字教育资源建设 → 人工智能工具融合应用 → 课堂教学效率提升 → 学生个性成长,"[""人工智能大模型"", ""数字教育资源"", ""教学设计优化"", ""生成式人工智能"", ""数据分析""]",,移动助手,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到‘在众多工具中选定Tinkercad，因其真正契合“以学为中心”的教学逻辑’,课堂教学,3D建模与探索,助教,教学分析,智育,学生：提升自主学习能力和个性成长；教师：优化备课效率和教学质量；学校：推动共同体课堂教学变革，提升整体教育质量。,数字教育资源建设 → 人工智能工具应用 → 教学设计优化 → 课堂教学实施 → 教学效果分析,"数据采集层（数字教育资源整合与应用）
行为识别层（课堂互动与学生参与度分析）
画像诊断层（教师教学效果评估与反馈）",企业产品以数字教育资源和人工智能工具为主，已在近100所学校常态应用，影响近1000所学校，整体处于推广阶段。,通过数智赋能实现教学资源的数字化建设与优化，促进教师备课与学生自主学习，形成了“备、教、学、评、研”一体化实施模式，提升了课堂教学效率与质量。,未提及,Tinkercad,Tinkercad,浙江省,赋能教师,HMC(1),1,0,0,0,第二境界_教学模式,T6_平台生态,2,Gen2_互联网+
第596号案例_（盖章）附件1申报书：重庆市巴蜀小学校 令狐林+数字教育资源和人工智能工具融合应用 赋能共同体课堂教学变革.pdf,2026-02-03 11:16:42,596,数字教育资源和人工智能工具融合应用赋能共同体课堂教学变革,重庆市,小学,已在近100所学校深度应用，影响带动近1000所学校加快推进教育数字化,通过数智赋能，实现课堂教学形态的变革，优化教师备课和教学效率，促进学生个性化学习与创造性思维培养。,数字教育资源建设 → 人工智能工具融合应用 → 课堂教学效率提升 → 学生个性成长,"[""人工智能大模型"", ""数字教育资源"", ""教学设计优化"", ""生成式人工智能"", ""数据分析""]",,Deepseek,未点名企业,0.0,硬件,教学辅助工具（工具型）,文档中提到“toio机器人不依赖电子屏幕，可与周边事物自由组合，创新性强。”,课堂教学,机器人教育,助教,教学分析,智育,学生：提升自主学习能力和个性成长；教师：优化备课效率和教学质量；学校：推动共同体课堂教学变革，提升整体教育质量。,数字教育资源建设 → 人工智能工具应用 → 教学设计优化 → 课堂教学实施 → 教学效果分析,"数据采集层（数字教育资源整合与应用）
行为识别层（课堂互动与学生参与度分析）
画像诊断层（教师教学效果评估与反馈）",企业产品以数字教育资源和人工智能工具为主，已在近100所学校常态应用，影响近1000所学校，整体处于推广阶段。,通过数智赋能实现教学资源的数字化建设与优化，促进教师备课与学生自主学习，形成了“备、教、学、评、研”一体化实施模式，提升了课堂教学效率与质量。,未提及,toio机器人,toio机器人,浙江省,赋能教师,HMC(1),1,0,0,0,第一境界_智慧环境,T5_智能硬件,2,Gen3_AI辅助
第596号案例_（盖章）附件1申报书：重庆市巴蜀小学校 令狐林+数字教育资源和人工智能工具融合应用 赋能共同体课堂教学变革.pdf,2026-02-03 11:16:42,596,数字教育资源和人工智能工具融合应用赋能共同体课堂教学变革,重庆市,小学,已在近100所学校深度应用，影响带动近1000所学校加快推进教育数字化,通过数智赋能，实现课堂教学形态的变革，优化教师备课和教学效率，促进学生个性化学习与创造性思维培养。,数字教育资源建设 → 人工智能工具融合应用 → 课堂教学效率提升 → 学生个性成长,"[""人工智能大模型"", ""数字教育资源"", ""教学设计优化"", ""生成式人工智能"", ""数据分析""]",,Kimi,未点名企业,0.0,AI系统,AI 能力 / 模型 / API（基础层）,文档中提到“AI工具选择：DeepSeek+Trae编程平台，支持自然语言转代码”,课堂教学,自然语言转代码,助教,教学分析,智育,学生：提升自主学习能力和个性成长；教师：优化备课效率和教学质量；学校：推动共同体课堂教学变革，提升整体教育质量。,数字教育资源建设 → 人工智能工具应用 → 教学设计优化 → 课堂教学实施 → 教学效果分析,"数据采集层（数字教育资源整合与应用）
行为识别层（课堂互动与学生参与度分析）
画像诊断层（教师教学效果评估与反馈）",企业产品以数字教育资源和人工智能工具为主，已在近100所学校常态应用，影响近1000所学校，整体处于推广阶段。,通过数智赋能实现教学资源的数字化建设与优化，促进教师备课与学生自主学习，形成了“备、教、学、评、研”一体化实施模式，提升了课堂教学效率与质量。,未提及,Trae,Trae,浙江省,赋能教师,HMC(1),1,0,0,0,第一境界_智慧环境,T1_内容生成,2,Gen4_大模型
第596号案例_（盖章）附件1申报书：重庆市巴蜀小学校 令狐林+数字教育资源和人工智能工具融合应用 赋能共同体课堂教学变革.pdf,2026-02-03 11:16:42,596,数字教育资源和人工智能工具融合应用赋能共同体课堂教学变革,重庆市,小学,已在近100所学校深度应用，影响带动近1000所学校加快推进教育数字化,通过数智赋能，实现课堂教学形态的变革，优化教师备课和教学效率，促进学生个性化学习与创造性思维培养。,数字教育资源建设 → 人工智能工具融合应用 → 课堂教学效率提升 → 学生个性成长,"[""人工智能大模型"", ""数字教育资源"", ""教学设计优化"", ""生成式人工智能"", ""数据分析""]",,豆包,字节跳动,1.0,AI编程助手,平台型综合系统,文档中提到“借助百度秒哒平台、Trae轻代码AI助手，降低开发门槛，快速搭建测评系统”,系统开发,测评系统搭建,助教,教学分析,智育,学生：提升自主学习能力和个性成长；教师：优化备课效率和教学质量；学校：推动共同体课堂教学变革，提升整体教育质量。,数字教育资源建设 → 人工智能工具应用 → 教学设计优化 → 课堂教学实施 → 教学效果分析,"数据采集层（数字教育资源整合与应用）
行为识别层（课堂互动与学生参与度分析）
画像诊断层（教师教学效果评估与反馈）",企业产品以数字教育资源和人工智能工具为主，已在近100所学校常态应用，影响近1000所学校，整体处于推广阶段。,通过数智赋能实现教学资源的数字化建设与优化，促进教师备课与学生自主学习，形成了“备、教、学、评、研”一体化实施模式，提升了课堂教学效率与质量。,未提及,Trae,Trae,河南省,赋能教师,HMC(1),1,0,0,0,第二境界_教学模式,T1_内容生成,3,Gen4_大模型
第596号案例_（盖章）附件1申报书：重庆市巴蜀小学校 令狐林+数字教育资源和人工智能工具融合应用 赋能共同体课堂教学变革.pdf,2026-02-03 11:16:42,596,数字教育资源和人工智能工具融合应用赋能共同体课堂教学变革,重庆市,小学,已在近100所学校深度应用，影响带动近1000所学校加快推进教育数字化,通过数智赋能，实现课堂教学形态的变革，优化教师备课和教学效率，促进学生个性化学习与创造性思维培养。,数字教育资源建设 → 人工智能工具融合应用 → 课堂教学效率提升 → 学生个性成长,"[""人工智能大模型"", ""数字教育资源"", ""教学设计优化"", ""生成式人工智能"", ""数据分析""]",,即梦,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到“插入Travelboast软件轨迹可视化环节”,课堂教学,实验轨迹可视化,助教,教学分析,智育,学生：提升自主学习能力和个性成长；教师：优化备课效率和教学质量；学校：推动共同体课堂教学变革，提升整体教育质量。,数字教育资源建设 → 人工智能工具应用 → 教学设计优化 → 课堂教学实施 → 教学效果分析,"数据采集层（数字教育资源整合与应用）
行为识别层（课堂互动与学生参与度分析）
画像诊断层（教师教学效果评估与反馈）",企业产品以数字教育资源和人工智能工具为主，已在近100所学校常态应用，影响近1000所学校，整体处于推广阶段。,通过数智赋能实现教学资源的数字化建设与优化，促进教师备课与学生自主学习，形成了“备、教、学、评、研”一体化实施模式，提升了课堂教学效率与质量。,未提及,Travelboast,Travelboast,天津市,赋能教师,HMC(1),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen5_多模态AI
